phase,dataset,method,budget,mean_relative_error,median_query_mean_error,p90_query_mean_error,se_query_cluster,median_latency_ms,p90_latency_ms,mean_actual_samples,mean_kernel_evaluations,mean_full_dimension_distances_or_dots,low_dim_score_evaluations,observations,queries
audit,cifar10_gist512,matched_neyman,64,0.1786061667808333,0.17307628376428918,0.268927205956604,0.005423668895184696,0.609383,0.6231433000000001,64.0,64.0,128.0,1800.0,1000,200
audit,cifar10_gist512,matched_neyman,128,0.10163721841242392,0.09285626229627544,0.15464717667932326,0.0028622550729831197,0.6559335,0.671106,128.0,128.0,192.0,1800.0,1000,200
audit,cifar10_gist512,matched_neyman,256,0.05850934738992348,0.05617164884720082,0.0893101286428227,0.001937459648366588,0.7895525,0.8079409000000001,256.0,256.0,320.0,1800.0,1000,200
audit,cifar10_gist512,matched_neyman,512,0.030467353271394566,0.02823077625175645,0.04800156384073122,0.001015589066440026,0.9601985,0.9795658,512.0,512.0,576.0,1800.0,1000,200
audit,cifar10_gist512,matched_proportional,32,0.2614144196478369,0.23268892982565498,0.42809947294299994,0.008743597391675812,0.3039855,0.3357664,32.0,32.0,96.0,1800.0,1000,200
audit,cifar10_gist512,matched_proportional,64,0.16547090973948098,0.15728489208446375,0.2530926246727717,0.00505204136062293,0.3161345,0.32409709999999997,64.0,64.0,128.0,1800.0,1000,200
audit,cifar10_gist512,matched_proportional,128,0.10876861351001386,0.09746303107019279,0.17120246816952547,0.003401480388613758,0.3764705,0.3885774,128.0,128.0,192.0,1800.0,1000,200
audit,cifar10_gist512,matched_proportional,256,0.06460211183549858,0.06172157157721635,0.09587873470716585,0.002495232195862662,0.4732815,0.4826101,256.0,256.0,320.0,1800.0,1000,200
audit,cifar10_gist512,matched_proportional,512,0.032407605989098295,0.029177329965773074,0.04949289508367838,0.0011076951890547962,0.629509,0.6483328,512.0,512.0,576.0,1800.0,1000,200
audit,cifar10_gist512,matched_single,32,0.33646950450911695,0.30309808113226044,0.5409560464763751,0.010617558914949502,0.2149,0.2352398,32.0,32.0,96.0,1800.0,1000,200
audit,cifar10_gist512,matched_single,64,0.21615846453826407,0.19957276592291628,0.33022293841408396,0.006474555876864518,0.2254045,0.2333589,64.0,64.0,128.0,1800.0,1000,200
audit,cifar10_gist512,matched_single,128,0.13973761235697596,0.13483189109519,0.20681541022464886,0.0043050900463233585,0.279919,0.2923287,128.0,128.0,192.0,1800.0,1000,200
audit,cifar10_gist512,matched_single,256,0.0795981364595151,0.0741813242167378,0.11930802739595316,0.0024643453263843555,0.3759675,0.38452759999999997,256.0,256.0,320.0,1800.0,1000,200
audit,cifar10_gist512,matched_single,512,0.039891604012205685,0.038169107624340226,0.05763396151707749,0.0013707909488111347,0.533034,0.5471049,512.0,512.0,576.0,1800.0,1000,200
audit,cifar10_gist512,uniform_mc,32,0.33744961544052676,0.29186336736227864,0.5284081893556013,0.012654746925251637,0.0778265,0.0871828,32.0,32.0,32.0,0.0,1000,200
audit,cifar10_gist512,uniform_mc,64,0.2276358001023557,0.2026111932196477,0.3575249418626082,0.008350829965181859,0.083795,0.08888510000000001,64.0,64.0,64.0,0.0,1000,200
audit,cifar10_gist512,uniform_mc,128,0.18126343991694874,0.14874831132988423,0.28283149966805327,0.009605052141751017,0.1190005,0.12289,128.0,128.0,128.0,0.0,1000,200
audit,cifar10_gist512,uniform_mc,256,0.11966906691786021,0.10052780606548198,0.19324032492735138,0.005530003161902179,0.2080765,0.212551,256.0,256.0,256.0,0.0,1000,200
audit,cifar10_gist512,uniform_mc,512,0.07706717627031438,0.0647454373526567,0.13508152337853202,0.0032297840980694175,0.361207,0.368756,512.0,512.0,512.0,0.0,1000,200
audit,isolet,current_approx,32,0.5262060100241256,0.439306653406212,0.7656948832921915,0.03110474341941121,1.025456,1.0778523,32.0,32.0,92.0,0.0,1000,200
audit,isolet,current_approx,64,0.36679225656902154,0.33096957557184015,0.5861699365402542,0.013002729061625034,1.0459605,1.09076,64.0,64.0,124.0,0.0,1000,200
audit,isolet,current_approx,128,0.2774001393270369,0.24563847955656581,0.45599169673888296,0.01248475341567106,1.1677755,1.2205466,128.0,128.0,188.0,0.0,1000,200
audit,isolet,current_approx,256,0.1922611408451873,0.16169456536726812,0.30573608045820894,0.010134874775450886,1.26733,1.3151469,256.0,256.0,316.0,0.0,1000,200
audit,isolet,current_approx,512,0.11944457204400567,0.10141388750812794,0.20220384959784576,0.005312279821853658,1.420716,1.4676186,512.0,512.0,572.0,0.0,1000,200
audit,isolet,deann,32,0.382608919459369,0.3682722874273773,0.5724757135719007,0.010266929342610375,0.076821,0.10025850000000001,32.0,32.286,324.076,0.0,1000,200
audit,isolet,deann,64,0.1990380059741908,0.19153078947984786,0.3028130759988019,0.0056236666216669924,0.0846815,0.0940155,64.0,65.098,356.888,0.0,1000,200
audit,isolet,deann,128,0.09088840908038995,0.08494327471692456,0.14981564765101618,0.0028262398347527738,0.1122485,0.1231714,128.0,132.696,424.486,0.0,1000,200
audit,isolet,deann,256,0.04569174140722179,0.04253893314528577,0.08103191055281594,0.0018046974600419007,0.1855105,0.1964816,255.865,275.523,567.313,0.0,1000,200
audit,isolet,deann,512,0.02607503988076904,0.022312947107799,0.04717572055562412,0.0011982122138405667,0.315364,0.32857020000000003,488.18,564.252,856.042,0.0,1000,200
audit,isolet,exact,0,0.0,0.0,0.0,0.0,0.433913,0.45181259999999995,1800.0,1800.0,1800.0,0.0,200,200
audit,isolet,exact_annular,32,0.17330300515521627,0.16246535836643544,0.26961729592019645,0.0053454295285524376,0.6331385,0.6534519,32.0,32.0,1800.0,0.0,1000,200
audit,isolet,exact_annular,64,0.14234950394291218,0.12724213773580736,0.23449769532314235,0.004903358589165019,0.6289885,0.6418399,64.0,64.0,1800.0,0.0,1000,200
