phase,dataset,budget,method,comparator,mean_error_difference,difference_ci_low,difference_ci_high,relative_error_reduction,reduction_ci_low,reduction_ci_high,query_count,bootstrap_resamples,bootstrap_seed
audit,cifar10,512,final,matched_single,-0.008137217424783157,-0.010330207612636038,-0.005902537858428501,0.2382127931048914,0.18199603549674748,0.2884046377950064,200,1000,20260916
audit,cifar10,512,final,matched_neyman,0.004686873484082937,0.003090470062807841,0.0063840965160332505,-0.21967635933861174,-0.30863773907092956,-0.13917754037136243,200,1000,20260916
audit,cifar10_gist512,32,final,current_approx,-0.06558742219257221,-0.09901551344640096,-0.036485538969354116,0.20057202682234931,0.12179603715293687,0.27658409830131353,200,1000,20260916
audit,cifar10_gist512,32,final,uniform_mc,-0.07603519579268984,-0.10053011931021258,-0.05270388872370601,0.22532310695754965,0.1642498066981826,0.2815225236671996,200,1000,20260916
audit,cifar10_gist512,32,final,deann,-0.04212353016828974,-0.06154107651786618,-0.02195808236627829,0.13877516861995953,0.07485347600310492,0.19568232354028814,200,1000,20260916
audit,cifar10_gist512,32,final,matched_single,-0.07505508486128004,-0.09624278190452147,-0.051132806572061505,0.22306653011772837,0.1578545470058181,0.2759290953372177,200,1000,20260916
audit,cifar10_gist512,32,final,matched_neyman,-0.1579073661967348,-0.19000453998965178,-0.12802758660829655,0.3765780160424711,0.3189829811745624,0.4291660865144572,200,1000,20260916
audit,cifar10_gist512,64,final,current_approx,-0.06156921730202729,-0.08141034669775266,-0.043820669317884385,0.27118209500812596,0.20747390103998964,0.3320303515823669,200,1000,20260916
audit,cifar10_gist512,64,final,uniform_mc,-0.06216489036287472,-0.0800958955484725,-0.0463143767701984,0.2730892519319126,0.21521893163501538,0.3305791655957465,200,1000,20260916
audit,cifar10_gist512,64,final,deann,-0.03233535226836803,-0.04530688158915722,-0.019459692705963517,0.16346981101682678,0.1010111796908508,0.22026250437815434,200,1000,20260916
audit,cifar10_gist512,64,final,matched_single,-0.05068755479878307,-0.06490041176868748,-0.03682741320881546,0.23449257426516568,0.17754707521683033,0.2859797751261465,200,1000,20260916
audit,cifar10_gist512,64,final,matched_neyman,-0.013135257041352265,-0.023877117328259572,-0.0012528120406811241,0.0735431327937881,0.00715986756600871,0.13010507202254834,200,1000,20260916
audit,cifar10_gist512,128,final,current_approx,-0.03989686115193894,-0.05164584971732773,-0.02905266624353427,0.26836668865222113,0.20469519832519836,0.32866636253679016,200,1000,20260916
