dataset,phase,n,method,axis,target,baseline_method,baseline_budget,baseline_value,candidate_budget,candidate_value,relative_gain
cifar10_gist512,audit,1800,ann_E_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0175470514814906,
cifar10_gist512,audit,1800,ann_T_multi,time_cap_ms,0.125,official_T,256.0,0.100893452512572,,,
cifar10_gist512,audit,1800,ann_T_multi,time_cap_ms,0.25,official_O,512.0,0.0447064538321026,,,
cifar10_gist512,audit,1800,ann_T_multi,time_cap_ms,0.5,exact,0.0,0.0,32.0,0.2450824889722871,
cifar10_gist512,audit,1800,ann_T_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0505214378903325,
cifar10_gist512,audit,1800,ann_T_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0505214378903325,
cifar10_gist512,audit,1800,ann_T_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0505214378903325,
cifar10_gist512,test,1800,ann_E_multi,time_cap_ms,0.125,official_T,128.0,0.1428444978141611,,,
cifar10_gist512,test,1800,ann_E_multi,time_cap_ms,0.25,official_O,512.0,0.0403524562779594,,,
cifar10_gist512,test,1800,ann_E_multi,time_cap_ms,0.5,exact,0.0,0.0,,,
cifar10_gist512,test,1800,ann_E_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0170214334248308,
cifar10_gist512,test,1800,ann_E_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0170214334248308,
cifar10_gist512,test,1800,ann_E_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0170214334248308,
cifar10_gist512,test,1800,ann_T_multi,time_cap_ms,0.125,official_T,128.0,0.1428444978141611,,,
cifar10_gist512,test,1800,ann_T_multi,time_cap_ms,0.25,official_O,512.0,0.0403524562779594,,,
cifar10_gist512,test,1800,ann_T_multi,time_cap_ms,0.5,exact,0.0,0.0,64.0,0.1673501496606857,
cifar10_gist512,test,1800,ann_T_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0509064399257412,
cifar10_gist512,test,1800,ann_T_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0509064399257412,
cifar10_gist512,test,1800,ann_T_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0509064399257412,
isolet,audit,1800,ann_E_multi,time_cap_ms,0.125,official_T,128.0,0.1463506709678391,,,
isolet,audit,1800,ann_E_multi,time_cap_ms,0.25,official_T,512.0,0.0381568698230942,,,
isolet,audit,1800,ann_E_multi,time_cap_ms,0.5,exact,0.0,0.0,,,
isolet,audit,1800,ann_E_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0106539968152259,
isolet,audit,1800,ann_E_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0106539968152259,
isolet,audit,1800,ann_E_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0106539968152259,
isolet,audit,1800,ann_T_multi,time_cap_ms,0.125,official_T,128.0,0.1463506709678391,,,
isolet,audit,1800,ann_T_multi,time_cap_ms,0.25,official_T,512.0,0.0381568698230942,,,
isolet,audit,1800,ann_T_multi,time_cap_ms,0.5,exact,0.0,0.0,,,
isolet,audit,1800,ann_T_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0310750090251684,
isolet,audit,1800,ann_T_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0310750090251684,
isolet,audit,1800,ann_T_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0310750090251684,
isolet,test,1800,ann_E_multi,time_cap_ms,0.125,official_T,128.0,0.1446986788276576,,,
isolet,test,1800,ann_E_multi,time_cap_ms,0.25,official_E,256.0,0.0354568560702913,,,
isolet,test,1800,ann_E_multi,time_cap_ms,0.5,exact,0.0,0.0,,,
isolet,test,1800,ann_E_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0119277182374256,
isolet,test,1800,ann_E_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0119277182374256,
isolet,test,1800,ann_E_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0119277182374256,
isolet,test,1800,ann_T_multi,time_cap_ms,0.125,official_T,128.0,0.1446986788276576,,,
isolet,test,1800,ann_T_multi,time_cap_ms,0.25,official_E,256.0,0.0354568560702913,,,
isolet,test,1800,ann_T_multi,time_cap_ms,0.5,exact,0.0,0.0,,,
isolet,test,1800,ann_T_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0287659696120309,
isolet,test,1800,ann_T_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0287659696120309,
isolet,test,1800,ann_T_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0287659696120309,
