dataset,phase,n,method,time_cap_ms,attained,budget,error
cifar10_gist512,audit,1800,projected_current,4.0,True,512.0,0.032407605989097844
cifar10_gist512,audit,1800,projected_fast,0.125,False,,
cifar10_gist512,audit,1800,projected_fast,0.25,False,,
cifar10_gist512,audit,1800,projected_fast,0.5,True,256.0,0.06173151503508642
cifar10_gist512,audit,1800,projected_fast,1.0,True,512.0,0.03341496669763708
cifar10_gist512,audit,1800,projected_fast,2.0,True,512.0,0.03341496669763708
cifar10_gist512,audit,1800,projected_fast,4.0,True,512.0,0.03341496669763708
cifar10_gist512,audit,1800,uniform_mc,0.125,True,32.0,0.33744961544052643
cifar10_gist512,audit,1800,uniform_mc,0.25,True,256.0,0.11966906691785974
cifar10_gist512,audit,1800,uniform_mc,0.5,True,512.0,0.07706717627031394
cifar10_gist512,audit,1800,uniform_mc,1.0,True,512.0,0.07706717627031394
cifar10_gist512,audit,1800,uniform_mc,2.0,True,512.0,0.07706717627031394
cifar10_gist512,audit,1800,uniform_mc,4.0,True,512.0,0.07706717627031394
cifar10_gist512,audit,20000,exact,0.125,False,,
cifar10_gist512,audit,20000,exact,0.25,False,,
cifar10_gist512,audit,20000,exact,0.5,False,,
cifar10_gist512,audit,20000,exact,1.0,False,,
cifar10_gist512,audit,20000,exact,2.0,False,,
cifar10_gist512,audit,20000,exact,4.0,False,,
cifar10_gist512,audit,20000,exact_annular,0.125,False,,
cifar10_gist512,audit,20000,exact_annular,0.25,False,,
cifar10_gist512,audit,20000,exact_annular,0.5,False,,
cifar10_gist512,audit,20000,exact_annular,1.0,False,,
cifar10_gist512,audit,20000,exact_annular,2.0,False,,
cifar10_gist512,audit,20000,exact_annular,4.0,False,,
cifar10_gist512,audit,20000,official_E,0.125,False,,
cifar10_gist512,audit,20000,official_E,0.25,False,,
cifar10_gist512,audit,20000,official_E,0.5,False,,
cifar10_gist512,audit,20000,official_E,1.0,False,,
cifar10_gist512,audit,20000,official_E,2.0,False,,
cifar10_gist512,audit,20000,official_E,4.0,True,256.0,0.11517814683236981
cifar10_gist512,audit,20000,official_O,0.125,False,,
cifar10_gist512,audit,20000,official_O,0.25,False,,
cifar10_gist512,audit,20000,official_O,0.5,False,,
cifar10_gist512,audit,20000,official_O,1.0,True,256.0,0.12798670602043186
cifar10_gist512,audit,20000,official_O,2.0,True,256.0,0.12798670602043186
cifar10_gist512,audit,20000,official_O,4.0,True,256.0,0.12798670602043186
cifar10_gist512,audit,20000,official_T,0.125,False,,
cifar10_gist512,audit,20000,official_T,0.25,False,,
cifar10_gist512,audit,20000,official_T,0.5,True,256.0,0.12074396264239906
cifar10_gist512,audit,20000,official_T,1.0,True,256.0,0.12074396264239906
cifar10_gist512,audit,20000,official_T,2.0,True,256.0,0.12074396264239906
cifar10_gist512,audit,20000,official_T,4.0,True,256.0,0.12074396264239906
cifar10_gist512,audit,20000,projected_current,0.125,False,,
cifar10_gist512,audit,20000,projected_current,0.25,False,,
cifar10_gist512,audit,20000,projected_current,0.5,False,,
cifar10_gist512,audit,20000,projected_current,1.0,False,,
cifar10_gist512,audit,20000,projected_current,2.0,True,256.0,0.10252875378837648
cifar10_gist512,audit,20000,projected_current,4.0,True,256.0,0.10252875378837648
cifar10_gist512,audit,20000,projected_fast,0.125,False,,
cifar10_gist512,audit,20000,projected_fast,0.25,False,,
cifar10_gist512,audit,20000,projected_fast,0.5,False,,
cifar10_gist512,audit,20000,projected_fast,1.0,True,64.0,0.2230269836054013
cifar10_gist512,audit,20000,projected_fast,2.0,True,256.0,0.09944320627577645
cifar10_gist512,audit,20000,projected_fast,4.0,True,256.0,0.09944320627577645
cifar10_gist512,audit,20000,uniform_mc,0.125,False,,
cifar10_gist512,audit,20000,uniform_mc,0.25,True,128.0,0.19090797428577974
cifar10_gist512,audit,20000,uniform_mc,0.5,True,128.0,0.19090797428577974
cifar10_gist512,audit,20000,uniform_mc,1.0,True,128.0,0.19090797428577974
cifar10_gist512,audit,20000,uniform_mc,2.0,True,128.0,0.19090797428577974
cifar10_gist512,audit,20000,uniform_mc,4.0,True,128.0,0.19090797428577974
cifar10_gist512,test,1800,ann_E_multi,0.125,False,,
cifar10_gist512,test,1800,ann_E_multi,0.25,False,,
cifar10_gist512,test,1800,ann_E_multi,0.5,False,,
cifar10_gist512,test,1800,ann_E_multi,1.0,True,512.0,0.017021433424830888
cifar10_gist512,test,1800,ann_E_multi,2.0,True,512.0,0.017021433424830888
cifar10_gist512,test,1800,ann_E_multi,4.0,True,512.0,0.017021433424830888
cifar10_gist512,test,1800,ann_E_single,0.125,False,,
cifar10_gist512,test,1800,ann_E_single,0.25,False,,
cifar10_gist512,test,1800,ann_E_single,0.5,True,128.0,0.10072805247737154
cifar10_gist512,test,1800,ann_E_single,1.0,True,512.0,0.02331503458137778
cifar10_gist512,test,1800,ann_E_single,2.0,True,512.0,0.02331503458137778
cifar10_gist512,test,1800,ann_E_single,4.0,True,512.0,0.02331503458137778
cifar10_gist512,test,1800,ann_T_multi,0.125,False,,
cifar10_gist512,test,1800,ann_T_multi,0.25,False,,
cifar10_gist512,test,1800,ann_T_multi,0.5,True,64.0,0.16735014966068576
cifar10_gist512,test,1800,ann_T_multi,1.0,True,512.0,0.05090643992574125
cifar10_gist512,test,1800,ann_T_multi,2.0,True,512.0,0.05090643992574125
cifar10_gist512,test,1800,ann_T_multi,4.0,True,512.0,0.05090643992574125
cifar10_gist512,test,1800,ann_T_single,0.125,False,,
cifar10_gist512,test,1800,ann_T_single,0.25,True,32.0,0.2954481084881798
cifar10_gist512,test,1800,ann_T_single,0.5,True,256.0,0.0947922468176894
cifar10_gist512,test,1800,ann_T_single,1.0,True,512.0,0.05894959012948911
cifar10_gist512,test,1800,ann_T_single,2.0,True,512.0,0.05894959012948911
cifar10_gist512,test,1800,ann_T_single,4.0,True,512.0,0.05894959012948911
cifar10_gist512,test,1800,exact,0.125,False,,
cifar10_gist512,test,1800,exact,0.25,False,,
cifar10_gist512,test,1800,exact,0.5,True,0.0,0.0
cifar10_gist512,test,1800,exact,1.0,True,0.0,0.0
cifar10_gist512,test,1800,exact,2.0,True,0.0,0.0
cifar10_gist512,test,1800,exact,4.0,True,0.0,0.0
cifar10_gist512,test,1800,exact_annular,0.125,False,,
cifar10_gist512,test,1800,exact_annular,0.25,False,,
cifar10_gist512,test,1800,exact_annular,0.5,False,,
cifar10_gist512,test,1800,exact_annular,1.0,True,512.0,0.03305077879838998
cifar10_gist512,test,1800,exact_annular,2.0,True,512.0,0.03305077879838998
cifar10_gist512,test,1800,exact_annular,4.0,True,512.0,0.03305077879838998
cifar10_gist512,test,1800,official_E,0.125,False,,
cifar10_gist512,test,1800,official_E,0.25,True,64.0,0.17321060866443477
cifar10_gist512,test,1800,official_E,0.5,True,512.0,0.02243317891195563
cifar10_gist512,test,1800,official_E,1.0,True,512.0,0.02243317891195563
cifar10_gist512,test,1800,official_E,2.0,True,512.0,0.02243317891195563
cifar10_gist512,test,1800,official_E,4.0,True,512.0,0.02243317891195563
cifar10_gist512,test,1800,official_O,0.125,True,64.0,0.18691702717504743
cifar10_gist512,test,1800,official_O,0.25,True,512.0,0.040352456277959414
cifar10_gist512,test,1800,official_O,0.5,True,512.0,0.040352456277959414
cifar10_gist512,test,1800,official_O,1.0,True,512.0,0.040352456277959414
cifar10_gist512,test,1800,official_O,2.0,True,512.0,0.040352456277959414
cifar10_gist512,test,1800,official_O,4.0,True,512.0,0.040352456277959414
cifar10_gist512,test,1800,official_T,0.125,True,128.0,0.14284449781416114
cifar10_gist512,test,1800,official_T,0.25,True,512.0,0.05949073592247509
cifar10_gist512,test,1800,official_T,0.5,True,512.0,0.05949073592247509
