dataset,phase,n,method,budget,mean_relative_error,median_error,p90_error,se_query_cluster,median_latency_ms,queries,actual_kernel_evaluations,actual_samples
cifar10,test,1800,official_T,128,0.17852524999370079,0.1698846959173815,0.2674478555619736,0.004903921929695385,0.272966,200,129.968,127.95
cifar10,test,1800,official_T,256,0.11556628129908536,0.1074675093585906,0.17828414547329074,0.0039004037045339847,0.3637535,200,263.355,255.515
cifar10,test,1800,official_T,512,0.07262779771077259,0.06790448840874622,0.10885138640170584,0.002533827429035745,0.579822,200,536.681,506.645
cifar10,test,1800,projected_current,32,0.2952369295637234,0.2797475919285842,0.4594449941363116,0.009334146314713703,0.4944985,200,32.0,32.0
cifar10,test,1800,projected_current,64,0.1892104283787959,0.1733004656749736,0.2881935744078873,0.006500878624651775,0.5939205,200,64.0,64.0
cifar10,test,1800,projected_current,128,0.11239368781111596,0.10498862353884011,0.17812511695797448,0.003480672653746554,0.7628405,200,128.0,128.0
cifar10,test,1800,projected_current,256,0.05901796423612486,0.059133057907268805,0.08263875451556335,0.001382888004712676,1.1212145,200,256.0,256.0
cifar10,test,1800,projected_current,512,0.0251756164878303,0.0242180155444244,0.0377357412802399,0.0007720966138822336,1.9097415,200,512.0,512.0
cifar10,test,1800,projected_fast,32,0.2913691235915201,0.2591190443733811,0.4470137883432006,0.009664921310847325,0.4934285,200,32.0,32.0
cifar10,test,1800,projected_fast,64,0.18730860355826054,0.1717736399579072,0.2906832246108702,0.005826953937007957,0.595992,200,64.0,64.0
cifar10,test,1800,projected_fast,128,0.10805062143655052,0.10048398954445742,0.16267579440594931,0.0032173483140292207,0.7636185,200,128.0,128.0
cifar10,test,1800,projected_fast,256,0.05850950758135401,0.05600569329997511,0.08649806388931282,0.0014124870193292078,1.1259195,200,256.0,256.0
cifar10,test,1800,projected_fast,512,0.025870774875900827,0.0249962095590888,0.04013482579787433,0.0007374817514545519,1.911475,200,512.0,512.0
cifar10,test,1800,uniform_mc,32,0.4215629192383016,0.3702352929238011,0.622878715968253,0.020636626942799188,0.2072965,200,32.0,32.0
cifar10,test,1800,uniform_mc,64,0.31154236787073974,0.27549510422588497,0.5040658969020693,0.0103524701277537,0.3061635,200,64.0,64.0
cifar10,test,1800,uniform_mc,128,0.21989822126496336,0.2031592572062765,0.341423513851771,0.007698124441483369,0.4796475,200,128.0,128.0
cifar10,test,1800,uniform_mc,256,0.1528984581660567,0.13705958981414224,0.2583267381608567,0.0052665441630029885,0.8394055,200,256.0,256.0
cifar10,test,1800,uniform_mc,512,0.09964092633356365,0.0877210875905382,0.17446994355315007,0.0039308472207383515,1.6232905,200,512.0,512.0
isolet,test,1800,ann_E_multi,32,0.28074409304570774,0.2739149206306599,0.4354669866800459,0.008205782453943216,0.5527355,200,32.0,32.0
isolet,test,1800,ann_E_multi,64,0.14021803616629785,0.135563649980021,0.21098354735529176,0.0038664876079625558,0.570079,200,64.0,64.0
isolet,test,1800,ann_E_multi,128,0.05599998053109191,0.0518221010456293,0.09345884639032687,0.001813661095560994,0.618594,200,128.0,128.0
isolet,test,1800,ann_E_multi,256,0.027692884094785666,0.025280864851001804,0.04693332682343979,0.0012078765229526054,0.7062995,200,256.0,256.0
isolet,test,1800,ann_E_multi,512,0.011927718237425665,0.009557030273775802,0.02208384606534168,0.0007822863956814687,0.9207755,200,512.0,512.0
isolet,test,1800,ann_E_single,32,0.38369534233439934,0.36208007610235093,0.5935149199137975,0.012883336868714646,0.3167055,200,32.0,32.0
isolet,test,1800,ann_E_single,64,0.19126657446858225,0.18413963870544953,0.30055026026636866,0.005982106106070686,0.336235,200,64.0,64.0
isolet,test,1800,ann_E_single,128,0.08077749392058861,0.07694763640140881,0.13227847934811351,0.002912305680406125,0.381626,200,128.0,128.0
isolet,test,1800,ann_E_single,256,0.03591782612500164,0.0326893555394393,0.06257332287861038,0.0015824690578351572,0.466238,200,256.0,256.0
isolet,test,1800,ann_E_single,512,0.014241843205711318,0.011272718908257,0.027369500059695837,0.0007758298936192361,0.6763425,200,512.0,512.0
isolet,test,1800,ann_T_multi,32,0.3424927274695107,0.2803945387208017,0.5760782725048282,0.013992557897579527,0.5144985,200,32.0,32.0
isolet,test,1800,ann_T_multi,64,0.21082298717269554,0.18847818692457913,0.3498254666964415,0.007021853345005433,0.516893,200,64.0,64.0
isolet,test,1800,ann_T_multi,128,0.1144491958753358,0.1060036867395471,0.17688341902899885,0.003817653729342993,0.5669175,200,128.0,128.0
