dataset,phase,n,budget,anchor,single_error,multi_error,relative_reduction,ci_low,ci_high,queries
isolet,test,1800,32,T,0.43989950401854266,0.3424927274695107,0.22142961212551415,0.1590949412301838,0.27694134073618726,200
isolet,test,1800,64,E,0.19126657446858225,0.14021803616629785,0.26689733135085614,0.2144540158752167,0.3178328042044487,200
isolet,test,1800,64,T,0.2646520935357012,0.21082298717269554,0.20339573227575536,0.1449331876973446,0.2589478349666727,200
isolet,test,1800,128,E,0.08077749392058861,0.05599998053109191,0.3067378323701795,0.2529823687773074,0.3579977503159095,200
isolet,test,1800,128,T,0.14493462413892785,0.1144491958753358,0.2103391680539365,0.1510180869294075,0.2701991239019661,200
isolet,test,1800,256,E,0.03591782612500164,0.027692884094785666,0.22899331383785404,0.1734105436404629,0.28153202251029213,200
isolet,test,1800,256,T,0.0759053285143855,0.058202537313765734,0.23322198252873316,0.17469470177067462,0.2880879274585109,200
isolet,test,1800,512,E,0.014241843205711318,0.011927718237425665,0.16248774367615804,0.07967238227726307,0.23576334099257165,200
isolet,test,1800,512,T,0.037564099608032316,0.0287659696120309,0.2342164483591167,0.1685046532545111,0.2921945771422025,200
cifar10_gist512,test,1800,32,E,0.2843344932744077,0.21798084982606825,0.23336473420515447,0.17658483120688426,0.28935258589525453,200
cifar10_gist512,test,1800,32,T,0.2954481084881798,0.2338284736257063,0.2085633080468301,0.14053236267871566,0.27131211635692665,200
cifar10_gist512,test,1800,64,E,0.1743689151016756,0.13313457328976727,0.2364775957220605,0.1816197608205389,0.28516233709751504,200
cifar10_gist512,test,1800,64,T,0.2171345370470122,0.16735014966068576,0.2292789901753286,0.16222004794186115,0.28898960821769903,200
cifar10_gist512,test,1800,128,E,0.10072805247737154,0.07670521139554211,0.23849206344206986,0.18166384240593342,0.29411787755799856,200
cifar10_gist512,test,1800,128,T,0.1401500568551952,0.11382982540250162,0.18780036229231045,0.12746681105086494,0.24790716758300838,200
cifar10_gist512,test,1800,256,E,0.05268234368992732,0.038668678191845315,0.2660030764873008,0.21832897959452105,0.31459160460834784,200
cifar10_gist512,test,1800,256,T,0.0947922468176894,0.07441235723292529,0.2149953215473417,0.1591086074587399,0.2684597897566982,200
cifar10_gist512,test,1800,512,E,0.02331503458137778,0.017021433424830888,0.2699374575053698,0.21732273585951256,0.3147958207760762,200
cifar10_gist512,test,1800,512,T,0.05894959012948911,0.05090643992574125,0.13644115567352066,0.07045409683910529,0.1929156623667903,200
cifar10,audit,1800,32,E,0.3575487530028883,0.2672760404327545,0.25247665335698877,0.19900378656627937,0.2996824740816498,200
cifar10,audit,1800,32,T,0.4028758806692894,0.28905943544285634,0.2825099508001129,0.22457289778330808,0.3368860672067634,200
cifar10,audit,1800,64,E,0.204883470928732,0.1460899620855586,0.28696072248612237,0.23658214107835462,0.33069982424043987,200
cifar10,audit,1800,64,T,0.27765305211667296,0.21987652973168392,0.20808891508496974,0.14327158624295377,0.2650116136539637,200
cifar10,audit,1800,128,E,0.10365734562538234,0.0654091058042797,0.36898725884156625,0.32332636919338476,0.41387572518071625,200
cifar10,audit,1800,128,T,0.19305441156491931,0.14755409730535246,0.23568647766573436,0.1709494633420752,0.29204761945821106,200
cifar10,audit,1800,256,E,0.042492605207421624,0.02778893061056528,0.34602902140460545,0.3006549165509687,0.38688206144209003,200
cifar10,audit,1800,256,T,0.12420474049345835,0.09429415103580396,0.24081681052447212,0.18843516101493776,0.29465464839233074,200
cifar10,audit,1800,512,E,0.012144455329098162,0.00827529906108294,0.318594466624181,0.267223264481812,0.36497709013315444,200
cifar10,audit,1800,512,T,0.08010556912449544,0.06511013886186151,0.18719585200535682,0.12921634684760572,0.2374005437823741,200
isolet,audit,1800,32,E,0.3755311421526236,0.2864469203773522,0.23722192855863267,0.1840453712209896,0.2895212327108093,200
isolet,audit,1800,32,T,0.4271800164362399,0.33110450251287704,0.22490638659756423,0.15974164560301904,0.28238882425147516,200
isolet,audit,1800,64,E,0.18610824743665907,0.14177098669655025,0.2382337233883134,0.1879412412221996,0.2851654330455098,200
isolet,audit,1800,64,T,0.2484510312393059,0.20705182245893933,0.16662924912753208,0.10847727174609458,0.22165966610218155,200
isolet,audit,1800,128,E,0.08806945578083672,0.06581059958266376,0.25274206591630066,0.18808809730603746,0.30454433083171795,200
isolet,audit,1800,128,T,0.14666913415096564,0.11018896558029087,0.24872423759675266,0.19308361553661715,0.2965797533016988,200
isolet,audit,1800,256,E,0.03526577478839019,0.025770224387425437,0.26925682075446067,0.2198925576077342,0.31709894702926034,200
isolet,audit,1800,256,T,0.07331922648586081,0.05711655914284241,0.22098797436362738,0.16696585049682336,0.27595003415159425,200
isolet,audit,1800,512,E,0.01362485341440827,0.010653996815225986,0.21804686691459052,0.1552774647282321,0.27929036356234826,200
isolet,audit,1800,512,T,0.0378174028554476,0.03107500902516848,0.17828812454549292,0.11674140091517154,0.2365765101278121,200
cifar10_gist512,audit,1800,32,E,0.2966278251989558,0.22356046332624976,0.2463267288687362,0.19531982830025066,0.2924947742355737,200
cifar10_gist512,audit,1800,32,T,0.3307468702902213,0.24508248897228718,0.2590028478357663,0.1892000978919374,0.3204615519999009,200
cifar10_gist512,audit,1800,64,E,0.17092512360731527,0.13485113698507425,0.21105139993999755,0.1613395133265764,0.2586039029082664,200
cifar10_gist512,audit,1800,64,T,0.2164079820463413,0.17322423749271912,0.19954783619938232,0.1419026286462686,0.25109694510030744,200
cifar10_gist512,audit,1800,128,E,0.09877479006369998,0.07555460661381619,0.23508208354489102,0.1807870355069663,0.2826644193049502,200
cifar10_gist512,audit,1800,128,T,0.1469981813907443,0.1163416644117845,0.20855031462919904,0.1504084958628769,0.2651771513688435,200
cifar10_gist512,audit,1800,256,E,0.05193188807431024,0.038783102627208056,0.25319290198514177,0.2023940117004757,0.29979984118768005,200
cifar10_gist512,audit,1800,256,T,0.10103384168944843,0.07981495980070885,0.21001756969670482,0.15988699535916095,0.2534458140768271,200
cifar10_gist512,audit,1800,512,E,0.023011892816058886,0.017547051481490605,0.23747900176010872,0.18771908728020048,0.28116628444335573,200
cifar10_gist512,audit,1800,512,T,0.06119379602482175,0.050521437890332574,0.17440261640510413,0.11113954527730453,0.23160432784834512,200
