dataset,phase,n,method,budget,error,latency_ms,dominated_by_any,dominated_by_existing,any_dominator_method,any_dominator_budget,existing_dominator_method,existing_dominator_budget
cifar10,audit,1800,projected_current,256,0.0582866966018764,1.107543,True,True,official_O,512.0,official_O,512.0
cifar10,audit,1800,projected_current,512,0.0260222301796954,1.888401,False,False,,,,
cifar10,audit,1800,projected_fast,32,0.3125336723773644,0.488746,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,projected_fast,64,0.1936567805877067,0.5870415,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,projected_fast,128,0.1133785224039462,0.757031,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,projected_fast,256,0.0570652660255731,1.1118985,True,True,official_O,512.0,official_O,512.0
cifar10,audit,1800,projected_fast,512,0.0271086687249094,1.8923755,True,True,projected_current,512.0,projected_current,512.0
cifar10,audit,1800,uniform_mc,32,0.4237192203886764,0.211363,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,uniform_mc,64,0.323390257873814,0.2912515,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,uniform_mc,128,0.2221133926507214,0.4687825,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,uniform_mc,256,0.1541218866706436,0.826563,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,uniform_mc,512,0.0980307608992781,1.5872115,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,exact,0,0.0,2.3325605,False,False,,,,
cifar10,test,1800,ann_E_multi,32,0.2592074914478665,1.852112,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,ann_E_multi,64,0.1390990067009183,1.9761155,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,ann_E_multi,128,0.066584861079687,2.102178,True,True,official_O,512.0,official_O,512.0
cifar10,test,1800,ann_E_multi,256,0.0281204574961428,2.578878,True,True,projected_current,512.0,projected_current,512.0
cifar10,test,1800,ann_E_multi,512,0.0089159687352369,3.480822,True,True,exact,0.0,exact,0.0
cifar10,test,1800,ann_E_single,32,0.3689998183971998,1.5849745,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,ann_E_single,64,0.207066823962984,1.714788,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,ann_E_single,128,0.1000778727525755,1.8338175,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,ann_E_single,256,0.041967580260528,2.2903615,True,True,projected_current,512.0,projected_current,512.0
cifar10,test,1800,ann_E_single,512,0.0127330925373556,3.1829165,True,True,exact,0.0,exact,0.0
cifar10,test,1800,ann_T_multi,32,0.2940896357679439,0.7396725,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,ann_T_multi,64,0.2063490924546813,0.835556,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,ann_T_multi,128,0.1434479800506846,1.0009845,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,ann_T_multi,256,0.1020965455253673,1.359391,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,ann_T_multi,512,0.0610354889424835,2.167742,True,True,official_O,512.0,official_O,512.0
cifar10,test,1800,ann_T_single,32,0.3899016151612869,0.447383,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,ann_T_single,64,0.2882065057428226,0.555866,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,ann_T_single,128,0.1812321763218962,0.725907,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,ann_T_single,256,0.1266616134685227,1.068884,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,ann_T_single,512,0.0805360268904261,1.864744,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,exact_annular,32,0.1754340481383741,3.0389985,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,exact_annular,64,0.1297995078369134,2.9963355,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,exact_annular,128,0.0943123248371796,2.695552,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,exact_annular,256,0.0660208860684022,2.6672695,True,True,official_O,512.0,official_O,512.0
cifar10,test,1800,exact_annular,512,0.0440460009742249,2.627073,True,True,official_E,256.0,official_E,256.0
cifar10,test,1800,official_E,32,0.3869087098605568,1.3785685,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,official_E,64,0.2153924633058137,1.4657365,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,official_E,128,0.1042709495784813,1.5132745,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,official_E,256,0.0434367484842232,1.8268135,False,False,,,,
cifar10,test,1800,official_E,512,0.0129964116422848,2.5009775,True,True,exact,0.0,exact,0.0
cifar10,test,1800,official_O,32,0.3779927136076041,0.48396,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,official_O,64,0.2194891942942415,0.5334225,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,official_O,128,0.1293065171439188,0.544992,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,official_O,256,0.0818303432981737,0.6788935,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,official_O,512,0.0451005273173886,0.9986735,False,False,,,,
cifar10,test,1800,official_T,32,0.3974498842061457,0.2129045,False,False,,,,
cifar10,test,1800,official_T,64,0.2672848100914168,0.241034,False,False,,,,
cifar10,test,1800,official_T,128,0.1785252499937007,0.272966,False,False,,,,
cifar10,test,1800,official_T,256,0.1155662812990853,0.3637535,False,False,,,,
cifar10,test,1800,official_T,512,0.0726277977107725,0.579822,False,False,,,,
cifar10,test,1800,projected_current,32,0.2952369295637234,0.4944985,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,projected_current,64,0.1892104283787959,0.5939205,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,projected_current,128,0.1123936878111159,0.7628405,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,projected_current,256,0.0590179642361248,1.1212145,True,True,official_O,512.0,official_O,512.0
cifar10,test,1800,projected_current,512,0.0251756164878303,1.9097415,False,False,,,,
cifar10,test,1800,projected_fast,32,0.2913691235915201,0.4934285,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,projected_fast,64,0.1873086035582605,0.595992,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,projected_fast,128,0.1080506214365505,0.7636185,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,projected_fast,256,0.058509507581354,1.1259195,True,True,official_O,512.0,official_O,512.0
cifar10,test,1800,projected_fast,512,0.0258707748759008,1.911475,True,True,projected_current,512.0,projected_current,512.0
cifar10,test,1800,uniform_mc,32,0.4215629192383016,0.2072965,False,False,,,,
cifar10,test,1800,uniform_mc,64,0.3115423678707397,0.3061635,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,uniform_mc,128,0.2198982212649633,0.4796475,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,uniform_mc,256,0.1528984581660567,0.8394055,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,uniform_mc,512,0.0996409263335636,1.6232905,True,True,official_T,512.0,official_T,512.0
cifar10,test,1800,exact,0,0.0,2.435951,False,False,,,,
cifar10_gist512,audit,1800,ann_E_multi,32,0.2235604633262497,0.635972,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,ann_E_multi,64,0.1348511369850742,0.6545185,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,ann_E_multi,128,0.0755546066138161,0.694994,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,ann_E_multi,256,0.038783102627208,0.7756845,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,audit,1800,ann_E_multi,512,0.0175470514814906,0.9329485,True,True,exact,0.0,exact,0.0
cifar10_gist512,audit,1800,ann_E_single,32,0.2966278251989558,0.398815,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,ann_E_single,64,0.1709251236073152,0.4158165,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,ann_E_single,128,0.0987747900636999,0.4558755,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,ann_E_single,256,0.0519318880743102,0.533949,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,audit,1800,ann_E_single,512,0.0230118928160588,0.692238,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,audit,1800,ann_T_multi,32,0.2450824889722871,0.498683,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,ann_T_multi,64,0.1732242374927191,0.5037315,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,ann_T_multi,128,0.1163416644117845,0.5423585,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,ann_T_multi,256,0.0798149598007088,0.6230175,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,ann_T_multi,512,0.0505214378903325,0.773192,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,audit,1800,ann_T_single,32,0.3307468702902213,0.247314,True,True,official_T,32.0,official_T,32.0
cifar10_gist512,audit,1800,ann_T_single,64,0.2164079820463413,0.265411,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,ann_T_single,128,0.1469981813907443,0.3020095,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,ann_T_single,256,0.1010338416894484,0.382162,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,ann_T_single,512,0.0611937960248217,0.5276205,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,exact_annular,32,0.1503372479292868,0.5742455,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,exact_annular,64,0.1130474875051962,0.5764865,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,exact_annular,128,0.0813953778728849,0.581319,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,exact_annular,256,0.0559688821729804,0.586377,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,audit,1800,exact_annular,512,0.0365603883708786,0.596178,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,audit,1800,official_E,32,0.2931842362987693,0.221604,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,official_E,64,0.1762325392524463,0.23124,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,official_E,128,0.0996650145878441,0.250433,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,official_E,256,0.0527067921275832,0.2827625,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,audit,1800,official_E,512,0.0221377378633197,0.344527,False,False,,,,
cifar10_gist512,audit,1800,official_O,32,0.3035379498161262,0.1090755,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,official_O,64,0.1978062620078486,0.11632,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,official_O,128,0.1179662303770307,0.132745,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,official_O,256,0.0746473789919626,0.1661975,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,official_O,512,0.0447064538321026,0.227016,False,False,,,,
cifar10_gist512,audit,1800,official_T,32,0.312326070914087,0.086703,False,False,,,,
cifar10_gist512,audit,1800,official_T,64,0.2228155689381551,0.091654,False,False,,,,
cifar10_gist512,audit,1800,official_T,128,0.1509840387507762,0.101025,False,False,,,,
cifar10_gist512,audit,1800,official_T,256,0.100893452512572,0.121067,False,False,,,,
cifar10_gist512,audit,1800,official_T,512,0.0607942781190939,0.1556865,False,False,,,,
cifar10_gist512,audit,1800,projected_current,32,0.2614144196478365,0.3579955,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,projected_current,64,0.1654709097394806,0.375056,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,projected_current,128,0.1087686135100134,0.412222,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,projected_current,256,0.0646021118354981,0.490992,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,projected_current,512,0.0324076059890978,0.630643,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,audit,1800,projected_fast,32,0.260611417550852,0.359282,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,projected_fast,64,0.1724595039846304,0.3762725,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,projected_fast,128,0.1094438451330846,0.415194,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,projected_fast,256,0.0617315150350864,0.494874,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,projected_fast,512,0.033414966697637,0.6351245,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,audit,1800,uniform_mc,32,0.3374496154405264,0.1115445,True,True,official_T,32.0,official_T,32.0
cifar10_gist512,audit,1800,uniform_mc,64,0.2276358001023553,0.125724,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,audit,1800,uniform_mc,128,0.1812634399169483,0.156934,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,audit,1800,uniform_mc,256,0.1196690669178597,0.22943,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,1800,uniform_mc,512,0.0770671762703139,0.3620515,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,audit,1800,exact,0,0.0,0.365527,False,False,,,,
cifar10_gist512,audit,20000,exact_annular,64,0.1180740954714211,5.2969335,True,True,projected_fast,256.0,projected_fast,256.0
cifar10_gist512,audit,20000,exact_annular,128,0.0793892536262221,5.249934,True,True,exact,0.0,exact,0.0
cifar10_gist512,audit,20000,exact_annular,256,0.0535202175771909,5.3196535,True,True,exact,0.0,exact,0.0
cifar10_gist512,audit,20000,official_E,64,0.2466849081098544,3.152584,True,True,uniform_mc,128.0,uniform_mc,128.0
cifar10_gist512,audit,20000,official_E,128,0.1731093082461657,3.10686,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,20000,official_E,256,0.1151781468323698,3.1618315,True,True,projected_fast,256.0,projected_fast,256.0
cifar10_gist512,audit,20000,official_O,64,0.254387467011415,0.6431985,True,True,uniform_mc,64.0,uniform_mc,64.0
cifar10_gist512,audit,20000,official_O,128,0.17810373296735,0.6325945,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,20000,official_O,256,0.1279867060204318,0.681154,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,20000,official_T,64,0.2688204289082399,0.277505,True,True,uniform_mc,64.0,uniform_mc,64.0
cifar10_gist512,audit,20000,official_T,128,0.1733284463962947,0.2823355,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,20000,official_T,256,0.120743962642399,0.2696465,False,False,,,,
cifar10_gist512,audit,20000,projected_current,64,0.2214392928964318,1.7355415,True,True,uniform_mc,128.0,uniform_mc,128.0
cifar10_gist512,audit,20000,projected_current,128,0.1551613868100149,1.801003,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,20000,projected_current,256,0.1025287537883764,1.910476,True,True,projected_fast,256.0,projected_fast,256.0
cifar10_gist512,audit,20000,projected_fast,64,0.2230269836054013,0.990175,True,True,uniform_mc,128.0,uniform_mc,128.0
cifar10_gist512,audit,20000,projected_fast,128,0.1576137681332341,1.035741,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,audit,20000,projected_fast,256,0.0994432062757764,1.138386,False,False,,,,
cifar10_gist512,audit,20000,uniform_mc,64,0.2533978740480894,0.152232,False,False,,,,
cifar10_gist512,audit,20000,uniform_mc,128,0.1909079742857797,0.187353,False,False,,,,
cifar10_gist512,audit,20000,uniform_mc,256,0.2344424905188245,0.2725045,True,True,uniform_mc,128.0,uniform_mc,128.0
