phase,dataset,projection_seed,budget,final_error_percent,matched_single_error_percent,recovery,matched_gain_percent,matched_gain_ci_low,matched_gain_ci_high,mc_error_reduction_percent,queries,sampling_seeds
test,amazon,20260917,64,11.12054610235754,14.530620509014902,0.7179436583293123,23.468195350237984,18.157731541719286,28.118187563013652,46.41748983054038,200,5
test,amazon,20260917,128,6.800593215670372,8.54537904034092,0.8182015202667203,20.41788686533137,14.60417737937972,25.336937577870145,53.96770330934824,200,5
test,amazon,20260917,256,3.8690807807960392,4.476341708106632,0.8943543207652157,13.566009185823468,8.187282003123297,18.891595284780838,64.26572044869694,200,5
test,amazon,20260918,64,10.776199222854096,14.33152733912984,0.7436063262799847,24.80774052998883,19.952046607947945,29.57549464653726,48.07666825604085,200,5
test,amazon,20260918,128,6.770333135319477,8.296271570765292,0.8213068825117034,18.393062744269038,12.189341179106847,23.793822155737438,54.17252970499056,200,5
test,amazon,20260918,256,3.5725770785222934,4.478326277510382,0.9324642008983709,20.22517214827898,14.607741219027307,25.386601143531596,67.0041864527245,200,5
test,cifar10,20260916,64,18.921042837879632,26.58076649517026,0.6731045140875149,28.816789984902826,23.39090254857502,33.856820999149896,39.266549948898046,200,5
test,cifar10,20260916,128,11.239368781111638,14.888700111307173,0.8560239366979102,24.51074508125839,19.11524710511711,29.528969887191447,48.88831425530772,200,5
test,cifar10,20260916,256,5.901796423612531,7.768736369731512,1.0806067856547106,24.031449353757683,19.51988931322976,28.52989518093056,61.40054978708276,200,5
test,cifar10,20260917,64,19.880234006852916,25.76921648761081,0.6203271357192667,22.852780501064785,16.990814033575884,27.918658826773584,36.187703320335295,200,5
test,cifar10,20260917,128,11.46007771626649,15.178185995884219,0.8384495958337856,24.49639423726885,19.667745616748533,29.346296739129308,47.884627486559786,200,5
test,cifar10,20260917,256,6.339344095531967,8.17801365785211,1.0302430771215563,22.483082558253585,16.914486163132665,27.327007779329925,58.53886185924092,200,5
test,cifar10,20260918,64,18.35411199635616,24.660611243776277,0.7042986331532077,25.573166800606863,20.4373856533725,30.409962721854168,41.08630514109935,200,5
test,cifar10,20260918,128,10.483810841142962,14.537967769073083,0.9161865792764222,27.886682597787924,22.366263428378403,32.50796600053381,52.32425810070281,200,5
test,cifar10,20260918,256,5.651276459889515,7.396307448810306,1.1094427622680325,23.593272737756177,18.726635167329167,28.232409403875415,63.039022579600626,200,5
test,cifar10_gist512,20260916,64,16.85895995305811,21.052239788635422,0.5358727566857966,19.918449902138,14.059540385400629,25.449151490695726,29.52191425921177,200,5
test,cifar10_gist512,20260916,128,10.549423475422037,13.404436131428913,0.6522842487864251,21.29901346102002,16.00515590443381,26.121739393849335,33.61059484994852,200,5
test,cifar10_gist512,20260916,256,6.32475944145285,7.785943176457262,0.806050546059311,18.766945787925415,12.450607722209345,24.292100736839714,45.34744037500993,200,5
test,cifar10_gist512,20260917,64,16.505247494600397,20.257886051310667,0.562713271484348,18.524334410832942,12.609280270660674,23.725508758240714,31.000592483976497,200,5
test,cifar10_gist512,20260917,128,10.884728984690577,12.847977666184995,0.6113325961230461,15.280604718527456,9.751004845383237,20.880126881097354,31.500457423411767,200,5
test,cifar10_gist512,20260917,256,6.421697124929994,7.741025227778533,0.7911614397800456,17.043325193078484,11.383444348885178,22.60416982042911,44.50979705036103,200,5
test,cifar10_gist512,20260918,64,16.156509533098564,20.485062737474102,0.58917631001378,21.130290201441028,15.200038594159212,26.718956630524865,32.458475059190484,200,5
test,cifar10_gist512,20260918,128,9.749724225281344,13.339241359213688,0.7499534042928983,26.90945487280647,22.406448318324095,31.41550278992502,38.64324498855326,200,5
test,cifar10_gist512,20260918,256,5.909295414777059,7.4259076436080855,0.8698635837398115,20.42325735274211,14.579690205003956,26.273310929216702,48.93748560916058,200,5
test,isolet,20260916,64,20.992147212778903,26.724933376115295,0.774939298907373,21.451077473816717,16.61861306077239,26.578689798142484,52.18968488104379,200,5
test,isolet,20260916,128,11.002685105252368,14.071169687004936,1.0159261061570954,21.806890613979213,15.946962910560947,26.85423069949676,64.18811938244895,200,5
test,isolet,20260916,256,5.29640970063212,6.898231649512432,1.1473778079479782,23.22076193242262,17.879805440276822,28.498441531463403,76.64914711015993,200,5
test,isolet,20260917,64,21.221603604370845,27.465215300448985,0.7671795456238192,22.732797204673915,17.090967197595162,27.912062458936298,51.667090299514214,200,5
test,isolet,20260917,128,11.123054859478259,14.600865924956702,1.0097252267280532,23.819211020450183,17.935005322371655,29.09894817014408,63.79633617434423,200,5
test,isolet,20260917,256,5.382150256057429,6.8788325028096144,1.1417192393261615,21.757794598732794,17.748723782216107,26.164461994655447,76.27113347269707,200,5
test,isolet,20260918,64,20.509557700375197,25.754668308956653,0.791259504797052,20.365669422181497,14.113520811607236,26.36088451997659,53.288798584242244,200,5
test,isolet,20260918,128,11.03404044872683,13.73807943013724,1.0143108274220698,19.682802062408776,13.837528475714567,25.15454722153767,64.08606303833947,200,5
test,isolet,20260918,256,5.331162348489318,6.819910926168644,1.1450842580436846,21.829443137840066,16.77513689762985,26.658723881045255,76.4959293620033,200,5
