dataset,phase,budget,comparator,final_gain_percent,gain_ci_low,gain_ci_high,error_difference_percent_points,difference_ci_low,difference_ci_high
cifar10,audit,32,uniform_mc,28.509951693116687,22.405631336812856,34.34710602600459,12.080214504726234,8.966125289535475,15.466453810585163
cifar10,audit,64,deann_mean_relative_error,7.772632335407836,0.09476459107009262,13.755086832791248,1.6258228792390779,0.018973414276234057,2.985554645435258
cifar10,audit,64,deann_median_time_ns,34.64332302027429,29.60802353431655,38.8110883146021,10.225734198022446,8.360596961400702,11.953717350718627
cifar10,audit,64,deann_original,18.774352709058007,12.530382492760904,24.435906607565645,4.458992180422566,2.9055379485414967,6.085506423384554
cifar10,audit,64,exact_annular,-51.61755744833847,-62.84667367519374,-41.13541846175553,-6.56769343956729,-7.778344526143203,-5.454675321816435
cifar10,audit,64,uniform_mc,40.346217497456514,35.15327237080876,44.679687817895505,13.04757368073547,10.726539509679704,15.30182912263753
cifar10,audit,128,deann_mean_relative_error,-13.949982126892824,-23.269360325062536,-5.524977308196114,-1.4199052745950764,-2.26823636805382,-0.5818121895932943
cifar10,audit,128,deann_median_time_ns,35.884290556058396,31.448661034372044,40.12435284882205,6.491422778010883,5.478341168435524,7.56418386648202
cifar10,audit,128,deann_original,14.394669516537972,8.650096196540714,20.23438044947968,1.9502975399666749,1.1192402617989685,2.840226571127828
cifar10,audit,128,exact_annular,-29.088521212704556,-38.1831111318654,-20.51697241245268,-2.613569181102006,-3.280971938966632,-1.9030170837373392
cifar10,audit,128,uniform_mc,47.781398448910416,43.4214394019215,52.05765093204226,10.612888515083435,9.065508456833726,12.353280872309565
cifar10,audit,256,deann_mean_relative_error,-35.63107740709175,-46.20007094428355,-24.6131328581825,-1.5312256144597705,-1.9197440851661838,-1.1012126946149847
cifar10,audit,256,deann_median_time_ns,49.008599424833555,45.0273107153743,52.86543596019038,5.602021778843573,4.927656763727532,6.3259119300904
cifar10,audit,256,deann_original,25.502508828165706,19.12553634247622,31.797836754306974,1.995311481329421,1.410601097296986,2.6452588423873307
cifar10,audit,256,exact_annular,13.983013326541693,6.722995616630406,20.923185861958945,0.9475147722137346,0.4324054976134523,1.5045805171760562
cifar10,audit,256,uniform_mc,62.181428049583495,58.68529195519319,65.63960675484866,9.583519006876715,8.416806056553792,10.87319832669988
cifar10,audit,512,deann_mean_relative_error,-103.5642907572801,-123.34879783149522,-86.76299100078505,-1.3238932046761824,-1.5107926879521305,-1.146757579732726
cifar10,audit,512,deann_median_time_ns,67.3143049936487,63.85526447025966,70.49699089492877,5.359128323845052,4.814158114145548,5.972804196377971
