dataset,phase,n,method,budget,mean_error,median_latency_ms,mean_kernel_evaluations,observations,error_ci_low,error_ci_high,mean_error_percent,nondominated,dominators
cifar10_gist512,audit_prefix100,5000,final,64,0.2307034520998385,0.514869,64.0,500,0.1814597433241003,0.31477084959546087,23.07034520998385,False,deann_mean_relative_error:M64;deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit_prefix100,5000,final,128,0.1322216460585498,0.5794825,128.0,500,0.12098618436558818,0.1439713482789551,13.22216460585498,False,deann_mean_relative_error:M256;deann_median_time_ns:M256;deann_original:M256
cifar10_gist512,audit_prefix100,5000,final,256,0.08827582020607329,0.6760785,256.0,500,0.08024089131792901,0.09684718591006942,8.827582020607329,True,
cifar10_gist512,audit_prefix100,5000,uniform_mc,64,0.2499120413716907,0.0866845,64.0,500,0.22354513661620667,0.278099313488419,24.99120413716907,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,5000,uniform_mc,128,0.1928197759052115,0.117387,128.0,500,0.17153575286151387,0.2158071035918415,19.281977590521148,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,5000,uniform_mc,256,0.13488951199496652,0.2005975,256.0,500,0.11928155981281371,0.15118391124931274,13.488951199496652,False,deann_median_time_ns:M256;deann_original:M256
cifar10_gist512,audit_prefix100,10000,deann_mean_relative_error,64,0.24896406708485783,0.558723,64.088,500,0.22707273792050672,0.2724452675924036,24.89640670848578,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit_prefix100,10000,deann_mean_relative_error,128,0.16042359405576498,0.56694,128.38,500,0.1461531282267078,0.17606342573597364,16.042359405576498,False,deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M256
cifar10_gist512,audit_prefix100,10000,deann_mean_relative_error,256,0.10229958759418042,0.5858145,257.408,500,0.09234602980244816,0.11220260464492776,10.229958759418043,True,
cifar10_gist512,audit_prefix100,10000,deann_median_time_ns,64,0.25917289813794603,0.077647,64.096,500,0.2333255856155906,0.28437330349375795,25.917289813794604,True,
cifar10_gist512,audit_prefix100,10000,deann_median_time_ns,128,0.17821210309729055,0.0847305,128.36,500,0.15953361889240042,0.19928855420452804,17.821210309729054,True,
cifar10_gist512,audit_prefix100,10000,deann_median_time_ns,256,0.13036090530484723,0.102404,257.4,500,0.11363826884804522,0.15206016379585113,13.036090530484723,True,
cifar10_gist512,audit_prefix100,10000,deann_original,64,0.24927228288018577,0.219171,64.184,500,0.22552845537868657,0.2733329862683149,24.927228288018576,False,deann_median_time_ns:M128;deann_median_time_ns:M256;uniform_mc:M128;uniform_mc:M256
