dataset,phase,method,budget,mean_error,median_latency_ms,mean_kernel_evaluations,observations,error_ci_low,error_ci_high,mean_error_percent,nondominated,dominators
cifar10_gist512,audit,deann_mean_relative_error,32,0.2931842362987698,0.192587,32.228,1000,0.27752488940469916,0.3096189967311403,29.31842362987698,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M64;uniform_mc:M128
cifar10_gist512,audit,deann_mean_relative_error,64,0.17623253925244678,0.200362,64.846,1000,0.1672848637306886,0.18519533093511364,17.62325392524468,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512
cifar10_gist512,audit,deann_mean_relative_error,128,0.09966501458784457,0.2144995,131.544,1000,0.09444949425501911,0.10502005300760217,9.966501458784457,False,deann_median_time_ns:M512;deann_original:M256;deann_original:M512
cifar10_gist512,audit,deann_mean_relative_error,256,0.052706792127583724,0.2420495,270.204,1000,0.05027856704054201,0.055077651596719436,5.270679212758372,False,deann_original:M512
cifar10_gist512,audit,deann_mean_relative_error,512,0.022137737863320198,0.3194675,571.218,1000,0.021097793447929704,0.02317205953090249,2.2137737863320197,True,
cifar10_gist512,audit,deann_median_time_ns,32,0.31232607091408743,0.0460695,32.132,1000,0.2945299305372771,0.33101451773628315,31.23260709140874,True,
cifar10_gist512,audit,deann_median_time_ns,64,0.2228155689381556,0.05063,64.494,1000,0.2054090388358477,0.2434931456452181,22.28155689381556,True,
cifar10_gist512,audit,deann_median_time_ns,128,0.15098403875077668,0.0563965,130.012,1000,0.14224873801095397,0.15999859579873468,15.098403875077668,True,
cifar10_gist512,audit,deann_median_time_ns,256,0.10089345251257244,0.069308,264.052,1000,0.09502244296783147,0.1069271421750868,10.089345251257244,True,
cifar10_gist512,audit,deann_median_time_ns,512,0.06079427811909435,0.0992415,534.815,1000,0.05620049833993613,0.06571920825906669,6.079427811909436,True,
cifar10_gist512,audit,deann_original,32,0.3035379498161267,0.066297,32.206,1000,0.28787873226126975,0.32040705457854357,30.35379498161267,False,deann_median_time_ns:M64;deann_median_time_ns:M128
cifar10_gist512,audit,deann_original,64,0.19780626200784904,0.0738655,64.878,1000,0.1876264656473716,0.20830159248997546,19.780626200784905,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10_gist512,audit,deann_original,128,0.11796623037703116,0.085898,131.502,1000,0.1117975715351197,0.12460488633245499,11.796623037703116,False,deann_median_time_ns:M256
cifar10_gist512,audit,deann_original,256,0.07464737899196312,0.111907,270.264,1000,0.07037230417907826,0.07937150641264841,7.4647378991963125,False,deann_median_time_ns:M512
cifar10_gist512,audit,deann_original,512,0.04470645383210307,0.18483,570.425,1000,0.041343236182424796,0.048291529459880966,4.470645383210306,True,
cifar10_gist512,audit,exact,0,0.0,0.3666535,1800.0,200,0.0,0.0,0.0,True,
cifar10_gist512,audit,exact_annular,32,0.1503372479292873,0.5537075,32.0,1000,0.141679161961175,0.1597047120680277,15.03372479292873,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;exact:M0;exact_annular:M64;final:M128;final:M256;uniform_mc:M256;uniform_mc:M512
cifar10_gist512,audit,exact_annular,64,0.11304748750519672,0.553028,64.0,1000,0.10587805712803695,0.12098852975093755,11.304748750519671,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256;deann_original:M512;exact:M0;final:M128;final:M256;uniform_mc:M512
cifar10_gist512,audit,exact_annular,128,0.08139537787288534,0.555651,128.0,1000,0.07449872565755956,0.08889537278374206,8.139537787288534,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M512;deann_original:M256;deann_original:M512;exact:M0;final:M256;uniform_mc:M512
cifar10_gist512,audit,exact_annular,256,0.05596888217298092,0.5590055,256.0,1000,0.0515628387110394,0.061357592826735106,5.596888217298092,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_original:M512;exact:M0
cifar10_gist512,audit,exact_annular,512,0.03656038837087911,0.571355,512.0,1000,0.03378443146725868,0.039781636998692076,3.656038837087911,False,deann_mean_relative_error:M512;exact:M0
cifar10_gist512,audit,final,32,0.26141441964783696,0.306658,32.0,1000,0.2442054322830441,0.27922496750092735,26.141441964783695,False,deann_mean_relative_error:M64;deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M64;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit,final,64,0.165470909739481,0.3157545,64.0,1000,0.15591513750003708,0.17550044784053942,16.5470909739481,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M256
cifar10_gist512,audit,final,128,0.10876861351001388,0.372247,128.0,1000,0.10260413039697007,0.1152539846120603,10.876861351001388,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256;deann_original:M512;exact:M0;uniform_mc:M512
cifar10_gist512,audit,final,256,0.06460211183549858,0.4664815,256.0,1000,0.06030084521502753,0.06977630214019037,6.460211183549857,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M512;deann_original:M512;exact:M0
cifar10_gist512,audit,final,512,0.032407605989098295,0.61245,512.0,1000,0.030360574614689162,0.03466994379370724,3.2407605989098296,False,deann_mean_relative_error:M512;exact:M0
cifar10_gist512,audit,uniform_mc,32,0.33744961544052676,0.079843,32.0,1000,0.31370759216198235,0.36437213843051885,33.74496154405268,False,deann_median_time_ns:M32;deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M32;deann_original:M64
cifar10_gist512,audit,uniform_mc,64,0.2276358001023557,0.084945,64.0,1000,0.21251305713321478,0.24509150338559754,22.76358001023557,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M64
cifar10_gist512,audit,uniform_mc,128,0.18126343991694877,0.119605,128.0,1000,0.16376335081510246,0.20124811673542045,18.126343991694878,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256
cifar10_gist512,audit,uniform_mc,256,0.11966906691786021,0.205117,256.0,1000,0.10953698992650082,0.130677070183185,11.96690669178602,False,deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512
cifar10_gist512,audit,uniform_mc,512,0.07706717627031438,0.349152,512.0,1000,0.07118865398208062,0.0837599168014839,7.706717627031439,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M512;deann_original:M256;deann_original:M512
cifar10_gist512,test,deann_mean_relative_error,32,0.27873844223270067,0.186452,32.254,1000,0.2630132187335439,0.29426514516448615,27.873844223270066,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M64;uniform_mc:M128
cifar10_gist512,test,deann_mean_relative_error,64,0.1732106086644352,0.193369,64.866,1000,0.16342161447949682,0.18144154117626538,17.32106086644352,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M128
cifar10_gist512,test,deann_mean_relative_error,128,0.10311361439274999,0.207144,131.582,1000,0.0983812965991524,0.10793655462601404,10.311361439274998,False,deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256;deann_original:M512
cifar10_gist512,test,deann_mean_relative_error,256,0.0528268723726782,0.236534,270.4,1000,0.05008620692343874,0.05530757069901324,5.28268723726782,False,deann_original:M512
cifar10_gist512,test,deann_mean_relative_error,512,0.022433178911956096,0.3130985,570.414,1000,0.021268667523657917,0.023533388805187357,2.2433178911956095,True,
cifar10_gist512,test,deann_median_time_ns,32,0.29928825249737245,0.0477265,32.11,1000,0.2801783999711301,0.3205212729394452,29.928825249737244,True,
cifar10_gist512,test,deann_median_time_ns,64,0.21321814465185288,0.050243,64.468,1000,0.1963885355231458,0.23126451822761107,21.321814465185287,True,
cifar10_gist512,test,deann_median_time_ns,128,0.14284449781416156,0.056601,129.924,1000,0.1342705023265017,0.15224188150285387,14.284449781416155,True,
cifar10_gist512,test,deann_median_time_ns,256,0.09915152150821727,0.0684935,264.04,1000,0.09137240677444208,0.1069208292075956,9.915152150821726,True,
cifar10_gist512,test,deann_median_time_ns,512,0.05949073592247552,0.101005,535.733,1000,0.055216565102733386,0.06383870569952298,5.949073592247553,True,
cifar10_gist512,test,deann_original,32,0.2909143284669537,0.068544,32.24,1000,0.2746981425996183,0.30769924185120057,29.09143284669537,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10_gist512,test,deann_original,64,0.18691702717504785,0.0753355,64.838,1000,0.17630442723942552,0.1967187055754262,18.691702717504786,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10_gist512,test,deann_original,128,0.12186361235275857,0.0873245,131.542,1000,0.11425711657520207,0.13046931377662246,12.186361235275857,False,deann_median_time_ns:M256
cifar10_gist512,test,deann_original,256,0.0680190152289375,0.1134305,270.316,1000,0.06405412226443906,0.07191416920818558,6.80190152289375,False,deann_median_time_ns:M512
cifar10_gist512,test,deann_original,512,0.04035245627795985,0.1852565,570.781,1000,0.03772321925903698,0.04333255898966771,4.035245627795985,True,
cifar10_gist512,test,exact,0,0.0,0.3641185,1800.0,200,0.0,0.0,0.0,True,
cifar10_gist512,test,exact_annular,32,0.14142611577586936,0.5545765,32.0,1000,0.1341190221829238,0.14932508166363612,14.142611577586935,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;exact:M0;exact_annular:M64;exact_annular:M128;final:M128;final:M256;uniform_mc:M256;uniform_mc:M512
