dataset,query_id,raw_row_id,grouping,candidate_size,candidate_fraction,mass_recall,variance_ratio
cifar10_gist512,45,4949,old_annuli,1562,0.8677777777777778,0.8967503759209227,0.9968569429788572
cifar10_gist512,45,4949,hamming_quantile,1562,0.8677777777777778,0.8967503759209227,0.8037042868171616
cifar10_gist512,45,4949,real_quantile,1562,0.8677777777777778,0.8967503759209227,0.716806209397425
cifar10_gist512,45,4949,random_quantile,1562,0.8677777777777778,0.8967503759209227,0.998812484908133
cifar10_gist512,45,4949,ordered_quantile,1562,0.8677777777777778,0.8967503759209227,0.2914725335614437
cifar10_gist512,46,24987,old_annuli,1481,0.8227777777777778,0.973240018171912,0.9912788456893012
cifar10_gist512,46,24987,hamming_quantile,1481,0.8227777777777778,0.973240018171912,0.840975939960631
cifar10_gist512,46,24987,real_quantile,1481,0.8227777777777778,0.973240018171912,0.7750676855824542
cifar10_gist512,46,24987,random_quantile,1481,0.8227777777777778,0.973240018171912,1.001058629381213
cifar10_gist512,46,24987,ordered_quantile,1481,0.8227777777777778,0.973240018171912,0.5766677332178582
cifar10_gist512,47,5024,old_annuli,1403,0.7794444444444445,0.9239597926975174,1.0197656731815656
cifar10_gist512,47,5024,hamming_quantile,1403,0.7794444444444445,0.9239597926975174,0.7534956340623079
cifar10_gist512,47,5024,real_quantile,1403,0.7794444444444445,0.9239597926975174,0.6892301706603687
cifar10_gist512,47,5024,random_quantile,1403,0.7794444444444445,0.9239597926975174,1.0097600518938326
cifar10_gist512,47,5024,ordered_quantile,1403,0.7794444444444445,0.9239597926975174,0.3464216016971188
cifar10_gist512,48,4066,old_annuli,1645,0.9138888888888888,0.9923124143330272,0.9794953078710524
cifar10_gist512,48,4066,hamming_quantile,1645,0.9138888888888888,0.9923124143330272,0.6812109188403759
cifar10_gist512,48,4066,real_quantile,1645,0.9138888888888888,0.9923124143330272,0.5877694911563321
cifar10_gist512,48,4066,random_quantile,1645,0.9138888888888888,0.9923124143330272,1.004037326573083
cifar10_gist512,48,4066,ordered_quantile,1645,0.9138888888888888,0.9923124143330272,0.2970978149894078
cifar10_gist512,49,15345,old_annuli,1534,0.8522222222222222,0.9910897847850088,0.998296553220873
cifar10_gist512,49,15345,hamming_quantile,1534,0.8522222222222222,0.9910897847850088,0.7787973694214524
cifar10_gist512,49,15345,real_quantile,1534,0.8522222222222222,0.9910897847850088,0.674203741030576
cifar10_gist512,49,15345,random_quantile,1534,0.8522222222222222,0.9910897847850088,1.0028686099256903
cifar10_gist512,49,15345,ordered_quantile,1534,0.8522222222222222,0.9910897847850088,0.2953151713154668
cifar10_gist512,50,16425,old_annuli,1424,0.7911111111111111,0.9979107070846472,0.8908674422033016
cifar10_gist512,50,16425,hamming_quantile,1424,0.7911111111111111,0.9979107070846472,0.8050877616229958
cifar10_gist512,50,16425,real_quantile,1424,0.7911111111111111,0.9979107070846472,0.7351563800149078
cifar10_gist512,50,16425,random_quantile,1424,0.7911111111111111,0.9979107070846472,1.0023685612720947
cifar10_gist512,50,16425,ordered_quantile,1424,0.7911111111111111,0.9979107070846472,0.7001318723183874
cifar10_gist512,51,17895,old_annuli,1496,0.8311111111111111,0.9923058497187168,0.998098307322526
cifar10_gist512,51,17895,hamming_quantile,1496,0.8311111111111111,0.9923058497187168,0.9417056399623064
cifar10_gist512,51,17895,real_quantile,1496,0.8311111111111111,0.9923058497187168,0.9092005125176328
cifar10_gist512,51,17895,random_quantile,1496,0.8311111111111111,0.9923058497187168,1.0008229680470655
cifar10_gist512,51,17895,ordered_quantile,1496,0.8311111111111111,0.9923058497187168,0.8211157724396387
cifar10_gist512,52,42962,old_annuli,1564,0.8688888888888889,0.952108080786388,0.998791033871706
cifar10_gist512,52,42962,hamming_quantile,1564,0.8688888888888889,0.952108080786388,0.9262291802325884
cifar10_gist512,52,42962,real_quantile,1564,0.8688888888888889,0.952108080786388,0.9183872997849788
cifar10_gist512,52,42962,random_quantile,1564,0.8688888888888889,0.952108080786388,0.9856680568377321
cifar10_gist512,52,42962,ordered_quantile,1564,0.8688888888888889,0.952108080786388,0.8728813435709664
cifar10_gist512,53,8723,old_annuli,1685,0.9361111111111112,0.9906998661260052,0.9978611898964286
cifar10_gist512,53,8723,hamming_quantile,1685,0.9361111111111112,0.9906998661260052,0.7307093218372458
cifar10_gist512,53,8723,real_quantile,1685,0.9361111111111112,0.9906998661260052,0.685536795301081
cifar10_gist512,53,8723,random_quantile,1685,0.9361111111111112,0.9906998661260052,1.0105990809408651
cifar10_gist512,53,8723,ordered_quantile,1685,0.9361111111111112,0.9906998661260052,0.4168395644277041
cifar10_gist512,54,57780,old_annuli,1634,0.9077777777777778,0.9636665012075422,0.9812046724920012
cifar10_gist512,54,57780,hamming_quantile,1634,0.9077777777777778,0.9636665012075422,0.8833321183129105
cifar10_gist512,54,57780,real_quantile,1634,0.9077777777777778,0.9636665012075422,0.764355707368404
cifar10_gist512,54,57780,random_quantile,1634,0.9077777777777778,0.9636665012075422,0.9986604981397781
cifar10_gist512,54,57780,ordered_quantile,1634,0.9077777777777778,0.9636665012075422,0.2842708978686866
cifar10_gist512,55,35565,old_annuli,1526,0.8477777777777777,0.9623749904624264,0.9909494610247824
cifar10_gist512,55,35565,hamming_quantile,1526,0.8477777777777777,0.9623749904624264,0.8097045464877911
cifar10_gist512,55,35565,real_quantile,1526,0.8477777777777777,0.9623749904624264,0.675411814716444
cifar10_gist512,55,35565,random_quantile,1526,0.8477777777777777,0.9623749904624264,1.0036100562287782
cifar10_gist512,55,35565,ordered_quantile,1526,0.8477777777777777,0.9623749904624264,0.2315153725726619
cifar10_gist512,56,29335,old_annuli,1661,0.9227777777777778,0.9562855666844232,0.9650670347537282
cifar10_gist512,56,29335,hamming_quantile,1661,0.9227777777777778,0.9562855666844232,0.8219408750051669
cifar10_gist512,56,29335,real_quantile,1661,0.9227777777777778,0.9562855666844232,0.6708788196767276
cifar10_gist512,56,29335,random_quantile,1661,0.9227777777777778,0.9562855666844232,1.0038646117805028
cifar10_gist512,56,29335,ordered_quantile,1661,0.9227777777777778,0.9562855666844232,0.1848180633750408
cifar10_gist512,57,45615,old_annuli,1522,0.8455555555555555,0.9966364455924728,1.0180948210234793
cifar10_gist512,57,45615,hamming_quantile,1522,0.8455555555555555,0.9966364455924728,0.9768318795557568
cifar10_gist512,57,45615,real_quantile,1522,0.8455555555555555,0.9966364455924728,0.9591300220042684
cifar10_gist512,57,45615,random_quantile,1522,0.8455555555555555,0.9966364455924728,1.026019297059531
cifar10_gist512,57,45615,ordered_quantile,1522,0.8455555555555555,0.9966364455924728,0.8385297551702942
cifar10_gist512,58,23543,old_annuli,1428,0.7933333333333333,0.983457429436618,0.9540424886384498
cifar10_gist512,58,23543,hamming_quantile,1428,0.7933333333333333,0.983457429436618,0.7953908474322201
cifar10_gist512,58,23543,real_quantile,1428,0.7933333333333333,0.983457429436618,0.7167690359452877
cifar10_gist512,58,23543,random_quantile,1428,0.7933333333333333,0.983457429436618,1.000613078046149
cifar10_gist512,58,23543,ordered_quantile,1428,0.7933333333333333,0.983457429436618,0.3225392409623792
cifar10_gist512,59,25124,old_annuli,1633,0.9072222222222224,0.999603002063468,0.979240242638572
cifar10_gist512,59,25124,hamming_quantile,1633,0.9072222222222224,0.999603002063468,0.7419721200002906
cifar10_gist512,59,25124,real_quantile,1633,0.9072222222222224,0.999603002063468,0.605192873729445
cifar10_gist512,59,25124,random_quantile,1633,0.9072222222222224,0.999603002063468,1.0000707238318576
cifar10_gist512,59,25124,ordered_quantile,1633,0.9072222222222224,0.999603002063468,0.5195457017390737
cifar10_gist512,60,45843,old_annuli,1397,0.7761111111111111,0.9971293276494873,0.9074481528575286
cifar10_gist512,60,45843,hamming_quantile,1397,0.7761111111111111,0.9971293276494873,0.891814715611225
cifar10_gist512,60,45843,real_quantile,1397,0.7761111111111111,0.9971293276494873,0.8631199610395306
cifar10_gist512,60,45843,random_quantile,1397,0.7761111111111111,0.9971293276494873,1.0038770771841148
cifar10_gist512,60,45843,ordered_quantile,1397,0.7761111111111111,0.9971293276494873,0.754271380619595
cifar10_gist512,61,58681,old_annuli,1418,0.7877777777777778,0.9878669341494114,0.9031050859512444
cifar10_gist512,61,58681,hamming_quantile,1418,0.7877777777777778,0.9878669341494114,0.7045819245064345
cifar10_gist512,61,58681,real_quantile,1418,0.7877777777777778,0.9878669341494114,0.5276067923996367
cifar10_gist512,61,58681,random_quantile,1418,0.7877777777777778,0.9878669341494114,1.001297238382412
cifar10_gist512,61,58681,ordered_quantile,1418,0.7877777777777778,0.9878669341494114,0.3098682450638856
cifar10_gist512,62,9928,old_annuli,1722,0.9566666666666668,0.9937758043488732,0.958248282716304
cifar10_gist512,62,9928,hamming_quantile,1722,0.9566666666666668,0.9937758043488732,0.7152020424059773
cifar10_gist512,62,9928,real_quantile,1722,0.9566666666666668,0.9937758043488732,0.5881378146650023
cifar10_gist512,62,9928,random_quantile,1722,0.9566666666666668,0.9937758043488732,1.0010499621672897
cifar10_gist512,62,9928,ordered_quantile,1722,0.9566666666666668,0.9937758043488732,0.2723747705542081
cifar10_gist512,63,29920,old_annuli,1651,0.9172222222222224,0.9893063199296096,1.0061710224910865
cifar10_gist512,63,29920,hamming_quantile,1651,0.9172222222222224,0.9893063199296096,0.7720786125757535
cifar10_gist512,63,29920,real_quantile,1651,0.9172222222222224,0.9893063199296096,0.6840182376484581
