dataset,phase,n,budget,comparator,final_gain_percent,gain_ci_low,gain_ci_high,error_difference_percent_points,difference_ci_low,difference_ci_high
cifar10_gist512,audit_prefix100,20000,64,exact_annular,-87.54265447667902,-112.23584730753092,-65.492436727376,-10.336519742501066,-13.068360631106945,-7.819685936604658
cifar10_gist512,audit_prefix100,20000,64,uniform_mc,12.61201628928923,0.6194078707844222,22.43550407594466,3.19585811516577,0.15376151101228694,5.943731739193838
cifar10_gist512,audit_prefix100,20000,128,deann_mean_relative_error,10.367970167513086,-0.21285899307816095,19.58442990547159,1.7947921436150787,-0.033622709247443844,3.5451392756112283
cifar10_gist512,audit_prefix100,20000,128,deann_median_time_ns,10.48129142330334,1.4419612851132446,19.59886859961996,1.8167059586279817,0.2518643698351787,3.540658709909581
cifar10_gist512,audit_prefix100,20000,128,deann_original,12.881451598513538,2.9043491670594004,21.848190038436183,2.2942346157335036,0.49572461107048604,4.148511630781025
cifar10_gist512,audit_prefix100,20000,128,exact_annular,-95.44381603653854,-118.05186116285225,-73.43536533352928,-7.577213318379285,-9.00220940084497,-6.215081508216991
cifar10_gist512,audit_prefix100,20000,128,uniform_mc,18.724512482780753,7.842422273631417,28.446369787836336,3.5746587475764784,1.4145692307880924,5.885228078704726
cifar10_gist512,audit_prefix100,20000,256,deann_mean_relative_error,10.982459252798392,1.1482792507764403,18.952352066869565,1.264939304399336,0.1211688315354562,2.2782275438850865
cifar10_gist512,audit_prefix100,20000,256,deann_median_time_ns,15.085813365236012,4.290500713548099,25.049707466257715,1.8215208854022698,0.4874096997805302,3.275465091164789
cifar10_gist512,audit_prefix100,20000,256,deann_original,19.891091054403077,7.364579150872005,31.201775326920135,2.5457952232055368,0.8670583048116239,4.519853181230265
cifar10_gist512,audit_prefix100,20000,256,exact_annular,-91.57013635174658,-111.2611715717599,-75.30803111665026,-4.9008536211185545,-5.777618617042391,-4.139642845281283
cifar10_gist512,audit_prefix100,20000,256,uniform_mc,56.266991720878266,16.966791212923155,77.64381881497546,13.191373673044804,2.142051896328557,34.09048988517298
