dataset,block,partition,queries,predicted_variance_ratio_median,empirical_variance_ratio_median,empirical_over_predicted_median,empirical_over_predicted_p10,empirical_over_predicted_p90,mean_relative_error_percent,ordering_spearman_median,absolute_relative_bias_mean,mean_predicted_relative_variance,mean_empirical_relative_variance
amazon,old_sizes,projected,80,0.9190961045852385,0.8984539840748218,0.9998759916807746,0.9381706586343324,1.0630117049279615,13.003351099799815,0.6959260328458131,0.004337408111933753,0.11472404877323239,0.11667619330923769
amazon,old_sizes,random,80,1.0034332033390707,1.0049941701329637,1.0005659897090373,0.9751284165464157,1.0263615009447573,13.567540473965265,-0.0009324526313817215,0.0016042073821548358,0.11746168315294017,0.11721471185597535
amazon,old_sizes,single,80,1.0,1.0,0.9951341599138734,0.940058556911316,1.0496178829664928,13.518485404129965,,0.0034451283866305596,0.11685232120535094,0.11601771868698293
cifar10,equal_C,exact_order,80,0.48046148587856835,0.4923266456928413,0.9977880608487224,0.9467955072032762,1.060577597669848,16.20540912520813,1.0,0.00479742125187572,0.051331111577805455,0.05171489377400956
cifar10,equal_C,norm_angle_hamming_quantiles,80,0.891731781258609,0.8779993904887864,1.0099992853067503,0.9498456267786802,1.0584573627239298,20.722810172432347,0.5791309633660282,0.005951585668978303,0.07551869335192743,0.07585183498865833
cifar10,equal_C,projected,80,0.582352090615305,0.5775437623650646,0.9895172205892062,0.9269326838876878,1.0541912397456443,17.209151644816618,0.9263382598574033,0.005016951443765327,0.056167645536690035,0.05619200536550719
cifar10,equal_C,random,80,1.0034832414043722,1.0197565542729388,0.9997202661959825,0.9761126296459813,1.0309146009630117,22.156978784851916,-0.00184505417830606,0.003177873201815719,0.08646622623671876,0.08660324744465453
cifar10,equal_C,single,80,1.0,1.0,0.9950780962524622,0.9303810529891793,1.0597681407520925,22.085101724792796,,0.007179519975103804,0.08621066922876901,0.085371898114035
cifar10,matched_H,exact_order,80,0.4049637131471784,0.4059016589269747,0.9979346539149696,0.9333564399099488,1.0562187866425932,9.646767557329271,1.0,0.002917165483782246,0.01573264226981759,0.015801181708708825
cifar10,matched_H,projected,80,0.5514637239546882,0.554724503878824,1.0042621130632754,0.94045961387913,1.0574580081021703,11.037851723969432,0.9244447670044422,0.0038740157771070733,0.02007117652255403,0.020110558243401362
cifar10,matched_H,random,80,0.9999417148480829,1.008437694782489,1.001545600000333,0.9792479327916408,1.0243801226158333,14.819513254466404,0.0015330170791016907,0.002157127082016747,0.03522246304031025,0.035273478289476766
cifar10,matched_H,single,80,1.0,1.0,0.9957000244061562,0.92948297287981,1.0493507774572952,14.76426387500957,,0.0048005815510916965,0.03522451072937667,0.03502775163311138
cifar10,old_sizes,exact_order,80,0.8887490601776293,0.8867487002273324,0.9925031503902111,0.9369753180916511,1.0416059748383755,20.465650664853204,1.0,0.006009636020812141,0.07376422781381112,0.07337827677284932
cifar10,old_sizes,original_norm_angle,80,0.9569500137059523,0.9403170122194602,0.9920046331144108,0.9227973149980874,1.0383925814121762,21.235493174821727,,0.007266712641242215,0.07969244961159591,0.07847615549212508
cifar10,old_sizes,projected,80,0.894905173018109,0.8890906613114743,0.9889283575887404,0.9334328400448761,1.0383491020795022,20.55842732062029,0.9263382598574033,0.006504396393338022,0.07464784237378033,0.07404327698572802
cifar10,old_sizes,random,80,1.0034118792713098,0.9992311536097538,0.9991266588340704,0.9775337536951767,1.02397496574808,22.18498614449393,0.00023014138829502984,0.0027026465003850823,0.08653379715343848,0.08634686405856509
cifar10,old_sizes,single,80,1.0,1.0,1.0070667201046057,0.9493574882909883,1.0503273051627224,22.1101507146384,,0.006096221262117304,0.08621066922876901,0.08689745589800577
cifar10_gist512,equal_C,exact_order,80,0.35219923861514796,0.3511187675112871,1.0095349975918606,0.9425203264710468,1.0483180382366954,11.79757636277633,1.0,0.004126515887410214,0.0453887232549126,0.04559805278169423
cifar10_gist512,equal_C,norm_angle_hamming_quantiles,80,0.7840208036494672,0.7716571496985449,1.0077866620044462,0.9481945959201478,1.0831891109087468,15.235102687064856,0.641455543017597,0.004861404155761808,0.058275549207912426,0.059764745071803
cifar10_gist512,equal_C,projected,80,0.604725471656146,0.6086607165670925,1.0050756758655366,0.942778676153925,1.054429937809119,13.804228776903685,0.8084988175699328,0.003955951383898435,0.051765355919402435,0.05108814319876931
cifar10_gist512,equal_C,random,80,1.0019046166062315,0.9922348275692314,1.0039122879743836,0.9729973418336748,1.030028500822118,17.098106498324046,0.0007341647267961697,0.0024064572918681354,0.06850738241675274,0.06882445411918478
cifar10_gist512,equal_C,single,80,1.0,1.0,1.0105414741877632,0.9460261175694077,1.0640452698815768,17.047950836755355,,0.006044316067891774,0.0684850760244902,0.06712231842543417
cifar10_gist512,matched_H,exact_order,80,0.34092485701772757,0.3418453891443267,0.9995159471811355,0.9506275494093391,1.0664651660467688,8.189153953922101,1.0,0.0022869411006198395,0.01238042575862704,0.01240949066339275
