dataset,phase,h_factor,budget,queries,exact_annular_error_percent,final_error_percent,matched_single_error_percent,uniform_mc_error_percent,matched_gain_percent,matched_gain_ci_low,matched_gain_ci_high,variance_ratio_median,recovery,recovery_ci_low,recovery_ci_high,recovery_denominator,recovery_denominator_ci_low,recovery_denominator_ci_high,recovery_stable,classification,H_mass_median,kernel_CV_median,single_relative_variance_median,multi_relative_variance_median,variance_ratio_median_recomputed,exact_annular_opportunity_pp
cifar10,test,0.5,128,200,65.47759433957036,15.91686651047723,16.46238816257039,104.7862721927454,3.313745531365153,-16.778069871966498,18.78103998247527,0.9640614948409196,2.2608088222710347,1.911944575397294,2.761655418204609,0.3930867785317503,0.2979062065334324,0.4962170118729191,True,Positive but uncertain,0.8503996522183885,16.80116515121307,0.025098168393723898,0.0234518293359295,0.9640614948409196,39.30867785317504
cifar10,test,0.75,128,200,23.566979279451523,16.48658564306906,18.77314350300397,45.847027559940976,12.179941305882137,4.36647716086796,19.46588794598492,0.788665651356528,1.3177907672032618,1.2160853098637543,1.4493853035013975,0.2228004828048945,0.1885317099218416,0.2624964624823809,True,Supported,0.48402492186337626,5.9422277773119845,0.0515253664969578,0.037572407851200904,0.788665651356528,22.280048280489453
cifar10,test,1.0,128,200,9.431232483718016,11.239368781111637,14.888700111307172,21.989822126496374,24.5107450812584,19.237178250051223,29.96692869495182,0.5441934517082321,0.8560239366979108,0.7973907337286703,0.9203860436740272,0.1255858964277836,0.1120001927148984,0.1382819422924264,True,Supported,0.24538578983743792,2.8687114995280822,0.03341712184510895,0.01816817564842145,0.5441934517082321,12.558589642778358
cifar10,test,1.5,128,200,2.812882011487478,4.700805919712833,8.6505022422447,9.117924287598274,45.65857810247754,42.05062540053478,49.13376245772789,0.2812700231203482,0.700569191204551,0.6644726149733049,0.7375899700835635,0.0630504227611079,0.0577514530243408,0.0676233667004336,True,Supported,0.09361262283412325,1.2546447258527325,0.01139654286245625,0.0031416851784719,0.2812700231203482,6.305042276110797
cifar10,test,2.0,128,200,1.5215100287760364,2.5127973442673857,5.654727671936664,5.38172332655393,55.56289374043739,52.561577311053945,58.215402312120275,0.194545826471866,0.7432040047989116,0.7101135787540673,0.7757691696441316,0.0386021329777789,0.0356265798792019,0.0412863783293696,True,Supported,0.0540926844225732,0.7676457849073031,0.0048679229541047,0.00095130397153155,0.19454582647186605,3.8602132977778933
cifar10_gist512,audit,0.5,128,200,72.69880787653943,34.83617700270209,34.580536517787394,115.72728933866252,-0.7392611875272515,-16.919108230910844,15.299242646896053,0.9780364925124982,1.8799434604069605,1.5491365058776618,2.360939391638223,0.4302848146212309,0.3134954125449192,0.5561196858630536,True,Reversed,0.7065158469271073,16.549140199201055,0.1310494336225059,0.1249629954041542,0.9780364925124982,43.02848146212308
cifar10_gist512,audit,0.75,128,200,22.952805771701243,20.70464834063863,23.110408214368075,45.18995090073357,10.4098545184232,3.5672864435487344,17.672020720076873,0.836956904899254,1.1010991931750926,0.9743685789905856,1.2541006153345142,0.2223714512903233,0.1741916303963549,0.2776168311616593,True,Supported,0.3066895964400662,4.994681208577768,0.07245714778381995,0.0585491375999633,0.836956904899254,22.237145129032328
cifar10_gist512,audit,1.0,128,200,8.13953778728853,10.87686135100139,13.973761235697598,18.12634399169487,22.162249894357856,16.781176417410585,27.375660015078537,0.6300360170832981,0.7259060096204624,0.6162842433913124,0.8194447552766468,0.0998680620440634,0.0847090946515836,0.1160041276971588,True,Supported,0.14526794351757083,2.1635662938885876,0.02721177181730735,0.01660497347998245,0.6300360170832981,9.98680620440634
cifar10_gist512,audit,1.5,128,200,2.606119871649948,4.265045174219036,6.702104669576222,6.498562714584627,36.3625997430339,32.17420541116363,40.70284249396641,0.4209643019624536,0.5738086930215901,0.4926627006370201,0.6459922284764976,0.0389244284293467,0.0348789972796153,0.0432128941058426,True,Supported,0.0582288874121041,0.8958366083710058,0.0064771207851470995,0.0025958981886825497,0.4209643019624536,3.892442842934679
cifar10_gist512,audit,2.0,128,200,1.504151813229974,2.327357760735094,4.087750204678886,3.702530411198783,43.06506894498657,39.1243476541644,47.079332486292266,0.3564564855360196,0.625539500673032,0.5507591522032156,0.6928933712305722,0.021983785979688,0.0194979795328918,0.0245356464636434,True,Supported,0.0373756743114272,0.5250465801239745,0.0023733360048971003,0.00079892270658105,0.3564564855360196,2.1983785979688086
